Time,Contract,Fill Type,Filled Qty,Exec.Price,Value,Fill ID,Side,Fee rate,Rebate,Fees paid,Order Type,Order Price,Order Qty,Unfilled Qty,Order ID,Client Order ID
2025-04-05 18:08:00.312652+05:30 IST Asia/Kolkata,BTCUSD,normal,33,83244,2747.052,1918884d3bef413a91b7d0495058eaac,sell,0.0005,0,1.62076068,limit_order,83220,80,47,366618606,
2025-04-05 17:03:47.572504+05:30 IST Asia/Kolkata,BTCUSD,normal,80,8.356E+4,6684.8,99821e8d1fb7423e8b69a52f399db23b,buy,0.0002,0,1.5776128,limit_order,83560,80,0,366596097,
2025-03-31 20:39:40.717718+05:30 IST Asia/Kolkata,BTCUSD,normal,46,83388,3835.848,ee5d9c4cc21042349b79d5d1f26050e4,sell,0.0005,0,2.26315032,market_order,79219,80,0,356105161,
2025-03-31 20:39:40.717665+05:30 IST Asia/Kolkata,BTCUSD,normal,34,83388.5,2835.209,3aae6e5d57eb4de9ab8d931dc631cdc2,sell,0.0005,0,1.67277331,market_order,79219,80,46,356105161,
2025-03-31 19:29:22.024742+05:30 IST Asia/Kolkata,BTCUSD,normal,80,8.24E+4,6592,6d651ea5cb204280bb5270c25a9666f9,buy,0.0002,0,1.555712,limit_order,82400,80,0,355950797,
2025-03-27 20:11:36.536015+05:30 IST Asia/Kolkata,BTCUSD,normal,70,8.695E+4,6086.5,fc20c920b13e4b1789fda0e187996552,buy,0.0002,0,1.436414,limit_order,86950,70,0,350315964,
2025-03-27 19:28:06.118614+05:30 IST Asia/Kolkata,BTCUSD,normal,12,86425,1037.1,fab1fb14a72d4229b767d3a8f53ba6b7,sell,0.0002,0,0.2447556,limit_order,86425,70,0,350306896,
2025-03-27 19:28:06.116791+05:30 IST Asia/Kolkata,BTCUSD,normal,58,86425,5012.65,88aa699b83564ebaa0f5999e4af859df,sell,0.0002,0,1.1829854,limit_order,86425,70,12,350306896,
2025-03-25 03:45:08.312952+05:30 IST Asia/Kolkata,BTCUSD,normal,80,87690.5,7015.24,7ccd2c0f0eee41d6a69d44bc224a2cbb,sell,0.0005,0,4.1389916,limit_order,87685,80,0,347252251,
2025-03-25 03:02:44.992583+05:30 IST Asia/Kolkata,BTCUSD,normal,80,88065,7045.2,9d0cad1f26b0441b8877f0dfec3d8aa5,buy,0.0002,0,1.6626672,limit_order,88065,80,0,347251583,
2025-03-24 16:05:55.401542+05:30 IST Asia/Kolkata,BTCUSD,normal,70,87524,6126.68,6c87de7e1e164adcafaf404cdde61b39,buy,0.0005,0,3.6147412,limit_order,87535,70,0,346577724,
2025-03-24 15:30:47.246180+05:30 IST Asia/Kolkata,BTCUSD,normal,70,8.713E+4,6099.1,3643a82d4c764b67966335fa579d050d,sell,0.0002,0,1.4393876,limit_order,87130,70,0,346575985,
2025-03-19 18:47:45.897517+05:30 IST Asia/Kolkata,BTCUSD,normal,70,84225,5895.75,66606544a72047258eba2af198e0bf98,buy,0.0002,0,0,limit_order,84225,70,0,341265056,
2025-03-19 18:35:42.633111+05:30 IST Asia/Kolkata,BTCUSD,normal,18,8.38E+4,1508.4,478e8589767848f18ff398672e555b06,sell,0.0002,0,0.3559824,limit_order,83800,70,0,341258652,
2025-03-19 18:35:42.630672+05:30 IST Asia/Kolkata,BTCUSD,normal,1,8.38E+4,83.8,cc780149371341a6b1e71bb82bb3af7b,sell,0.0002,0,0.0197768,limit_order,83800,70,18,341258652,
