id,Asset ID,Asset Symbol,Amount with GST,GST,Balance,Transaction type,Contract/Fund,Reference ID,Date
404709415,14,USD,61.78448275,,1119.84627074,settlement,P-BTC-86000-080325,,2025-03-08 17:30:01.336884+05:30 IST Asia/Kolkata
404709403,14,USD,-15.2163891,-2.321144,1058.06178799,commission,P-BTC-86400-080325,,2025-03-08 17:30:01.020380+05:30 IST Asia/Kolkata
404709402,14,USD,-261.78448276,,1073.27817709,settlement,P-BTC-86400-080325,,2025-03-08 17:30:01.020323+05:30 IST Asia/Kolkata
404709302,14,USD,-15.2155041,-2.321009,1335.06265985,commission,P-BTC-86200-080325,,2025-03-08 17:30:00.530628+05:30 IST Asia/Kolkata
404709301,14,USD,-161.78448276,,1350.27816395,settlement,P-BTC-86200-080325,,2025-03-08 17:30:00.530585+05:30 IST Asia/Kolkata
404708635,14,USD,-15.2154687,-2.321004,1512.06264671,commission,P-BTC-86600-080325,,2025-03-08 17:30:00.133782+05:30 IST Asia/Kolkata
404708634,14,USD,361.78448275,,1527.27811541,settlement,P-BTC-86600-080325,,2025-03-08 17:30:00.133738+05:30 IST Asia/Kolkata
404033783,14,USD,-10.62,-1.62,1165.49363266,commission,P-BTC-86200-080325,,2025-03-08 12:42:43.680926+05:30 IST Asia/Kolkata
404033782,14,USD,9E+1,,1176.11363266,cashflow,P-BTC-86200-080325,,2025-03-08 12:42:43.680882+05:30 IST Asia/Kolkata
404033748,14,USD,-14.16,-2.16,1086.11363266,commission,P-BTC-86400-080325,,2025-03-08 12:42:43.242558+05:30 IST Asia/Kolkata
404033747,14,USD,1.2E+2,,1100.27363266,cashflow,P-BTC-86400-080325,,2025-03-08 12:42:43.242514+05:30 IST Asia/Kolkata
404033099,14,USD,-0.59,-0.09,980.27363266,commission,P-BTC-86400-080325,,2025-03-08 12:42:12.956157+05:30 IST Asia/Kolkata
404033098,14,USD,5,,980.86363266,cashflow,P-BTC-86400-080325,,2025-03-08 12:42:12.956106+05:30 IST Asia/Kolkata
404027779,14,USD,-7.6287,-1.1637,975.86363266,commission,P-BTC-86000-080325,,2025-03-08 12:38:11.692160+05:30 IST Asia/Kolkata
404027778,14,USD,-64.65,,983.49233266,cashflow,P-BTC-86000-080325,,2025-03-08 12:38:11.692117+05:30 IST Asia/Kolkata
404027776,14,USD,-15.3149073,-2.336172,1048.14233266,commission,P-BTC-86600-080325,,2025-03-08 12:38:11.425142+05:30 IST Asia/Kolkata
404027775,14,USD,-173,,1063.45723996,cashflow,P-BTC-86600-080325,,2025-03-08 12:38:11.425064+05:30 IST Asia/Kolkata
388502751,14,USD,-2.9691042,-0.452914,1236.45723996,commission,BTCUSD,,2025-03-04 13:56:41.354050+05:30 IST Asia/Kolkata
388502749,14,USD,7.62,,1239.42634416,cashflow,BTCUSD,,2025-03-04 13:56:41.353989+05:30 IST Asia/Kolkata
388502747,14,USD,0.00004971,,1231.80634416,funding,BTCUSD,,2025-03-04 13:56:41.351855+05:30 IST Asia/Kolkata
388412192,14,USD,-0.01086386,,1231.80629445,funding,BTCUSD,,2025-03-04 13:31:33.041516+05:30 IST Asia/Kolkata
388251249,14,USD,-0.00654322,,1231.81715831,funding,BTCUSD,,2025-03-04 12:31:33.053496+05:30 IST Asia/Kolkata
388172932,14,USD,-1.18944,-0.18144,1231.82370153,commission,BTCUSD,,2025-03-04 11:53:07.603228+05:30 IST Asia/Kolkata
386374015,14,USD,-1.26249144,-0.192583,1233.01314153,commission,BTCUSD,,2025-03-03 23:48:09.335418+05:30 IST Asia/Kolkata
386374014,14,USD,77.46,,1234.27563297,cashflow,BTCUSD,,2025-03-03 23:48:09.335382+05:30 IST Asia/Kolkata
386374012,14,USD,0.00447901,,1156.81563297,funding,BTCUSD,,2025-03-03 23:48:09.324616+05:30 IST Asia/Kolkata
386270799,14,USD,0.00166239,,1156.81115396,funding,BTCUSD,,2025-03-03 23:31:33.031192+05:30 IST Asia/Kolkata
386236079,14,USD,-1.280772,-0.195372,1156.80949157,commission,BTCUSD,,2025-03-03 23:22:44.882545+05:30 IST Asia/Kolkata
385292635,14,USD,-1.7371488,-0.264989,1158.09026357,commission,BTCUSD,,2025-03-03 20:08:09.234112+05:30 IST Asia/Kolkata
385292632,14,USD,110.238,,1159.82741237,cashflow,BTCUSD,,2025-03-03 20:08:09.234078+05:30 IST Asia/Kolkata
385292630,14,USD,-0.00906101,,1049.58941237,funding,BTCUSD,,2025-03-03 20:08:09.232339+05:30 IST Asia/Kolkata
385146964,14,USD,-0.2203945,-0.03362,1049.59847338,commission,BTCUSD,,2025-03-03 19:36:52.671519+05:30 IST Asia/Kolkata
385146963,14,USD,-4.18751792,-0.638774,1049.81886788,commission,BTCUSD,,2025-03-03 19:36:52.605165+05:30 IST Asia/Kolkata
383734145,14,USD,-1.5261176,-0.232798,1054.0063858,commission,BTCUSD,,2025-03-03 12:09:23.905982+05:30 IST Asia/Kolkata
383734144,14,USD,-19.495,,1055.5325034,cashflow,BTCUSD,,2025-03-03 12:09:23.905909+05:30 IST Asia/Kolkata
383734143,14,USD,0.04479808,,1075.0275034,funding,BTCUSD,,2025-03-03 12:09:23.900723+05:30 IST Asia/Kolkata
383611043,14,USD,0.06732234,,1074.98270532,funding,BTCUSD,,2025-03-03 11:31:33.067994+05:30 IST Asia/Kolkata
383494600,14,USD,0.06708254,,1074.91538298,funding,BTCUSD,,2025-03-03 10:31:33.019775+05:30 IST Asia/Kolkata
383390433,14,USD,0.03241578,,1074.84830044,funding,BTCUSD,,2025-03-03 09:31:33.064212+05:30 IST Asia/Kolkata
383341228,14,USD,-3.82679605,-0.583749,1074.81588466,commission,BTCUSD,,2025-03-03 09:00:16.781481+05:30 IST Asia/Kolkata
379889582,14,USD,-0.00236,-0.00036,1078.64268071,commission,P-BTC-85200-020325,,2025-03-02 17:27:26.945860+05:30 IST Asia/Kolkata
379889581,14,USD,0.02,,1078.64504071,cashflow,P-BTC-85200-020325,,2025-03-02 17:27:26.945818+05:30 IST Asia/Kolkata
379889057,14,USD,-0.00236,-0.00036,1078.62504071,commission,P-BTC-84000-020325,,2025-03-02 17:27:03.144390+05:30 IST Asia/Kolkata
379889056,14,USD,0.02,,1078.62740071,cashflow,P-BTC-84000-020325,,2025-03-02 17:27:03.144313+05:30 IST Asia/Kolkata
379882946,14,USD,-0.00236,-0.00036,1078.60740071,commission,P-BTC-84800-020325,,2025-03-02 17:22:56.956966+05:30 IST Asia/Kolkata
379882945,14,USD,-0.02,,1078.60976071,cashflow,P-BTC-84800-020325,,2025-03-02 17:22:56.956919+05:30 IST Asia/Kolkata
379882586,14,USD,-0.00236,-0.00036,1078.62976071,commission,P-BTC-84400-020325,,2025-03-02 17:22:40.236718+05:30 IST Asia/Kolkata
379882585,14,USD,-0.02,,1078.63212071,cashflow,P-BTC-84400-020325,,2025-03-02 17:22:40.236672+05:30 IST Asia/Kolkata
378104343,14,USD,-3.0339924,-0.462812,1078.65212071,commission,BTCUSD,,2025-03-02 03:06:24.152749+05:30 IST Asia/Kolkata
378104340,14,USD,-42.36,,1081.68611311,cashflow,BTCUSD,,2025-03-02 03:06:24.152702+05:30 IST Asia/Kolkata
378104335,14,USD,-0.02322976,,1124.04611311,funding,BTCUSD,,2025-03-02 03:06:24.148784+05:30 IST Asia/Kolkata
378040867,14,USD,-0.0376715,,1124.06934287,funding,BTCUSD,,2025-03-02 02:31:33.042131+05:30 IST Asia/Kolkata
377950597,14,USD,-0.03761174,,1124.10701437,funding,BTCUSD,,2025-03-02 01:31:33.026615+05:30 IST Asia/Kolkata
377830544,14,USD,-0.03754888,,1124.14462611,funding,BTCUSD,,2025-03-02 00:31:33.049587+05:30 IST Asia/Kolkata
377697938,14,USD,-0.02938733,,1124.18217499,funding,BTCUSD,,2025-03-01 23:31:33.121152+05:30 IST Asia/Kolkata
377598690,14,USD,-1.2036,-0.1836,1124.21156232,commission,BTCUSD,,2025-03-01 22:42:50.844237+05:30 IST Asia/Kolkata
376654275,14,USD,-0.023364,-0.003564,1125.41516232,commission,C-BTC-85600-010325,,2025-03-01 17:21:39.937016+05:30 IST Asia/Kolkata
376654274,14,USD,-0.198,,1125.43852632,cashflow,C-BTC-85600-010325,,2025-03-01 17:21:39.936972+05:30 IST Asia/Kolkata
376654155,14,USD,-0.0258066,-0.003937,1125.63652632,commission,C-BTC-86000-010325,,2025-03-01 17:21:34.481591+05:30 IST Asia/Kolkata
376654154,14,USD,-0.2187,,1125.66233292,cashflow,C-BTC-86000-010325,,2025-03-01 17:21:34.481544+05:30 IST Asia/Kolkata
376654153,14,USD,-0.0060534,-0.000923,1125.88103292,commission,C-BTC-86000-010325,,2025-03-01 17:21:34.337489+05:30 IST Asia/Kolkata
376654152,14,USD,-0.0513,,1125.88708632,cashflow,C-BTC-86000-010325,,2025-03-01 17:21:34.337448+05:30 IST Asia/Kolkata
376653892,14,USD,-0.00354,-0.00054,1125.93838632,commission,C-BTC-86400-010325,,2025-03-01 17:21:25.217047+05:30 IST Asia/Kolkata
376653891,14,USD,0.03,,1125.94192632,cashflow,C-BTC-86400-010325,,2025-03-01 17:21:25.217005+05:30 IST Asia/Kolkata
376653735,14,USD,-0.008496,-0.001296,1125.91192632,commission,C-BTC-85600-010325,,2025-03-01 17:21:14.842945+05:30 IST Asia/Kolkata
376653734,14,USD,-0.072,,1125.92042232,cashflow,C-BTC-85600-010325,,2025-03-01 17:21:14.842906+05:30 IST Asia/Kolkata
376653353,14,USD,-0.00354,-0.00054,1125.99242232,commission,C-BTC-85200-010325,,2025-03-01 17:21:05.720149+05:30 IST Asia/Kolkata
376653352,14,USD,0.03,,1125.99596232,cashflow,C-BTC-85200-010325,,2025-03-01 17:21:05.720106+05:30 IST Asia/Kolkata
376405666,14,USD,-0.066375,-0.010125,1125.96596232,commission,C-BTC-86000-010325,,2025-03-01 15:54:32.193357+05:30 IST Asia/Kolkata
376405665,14,USD,0.5625,,1126.03233732,cashflow,C-BTC-86000-010325,,2025-03-01 15:54:32.193306+05:30 IST Asia/Kolkata
376404036,14,USD,-0.092925,-0.014175,1125.46983732,commission,C-BTC-86000-010325,,2025-03-01 15:53:56.936012+05:30 IST Asia/Kolkata
376404035,14,USD,0.7875,,1125.56276232,cashflow,C-BTC-86000-010325,,2025-03-01 15:53:56.935960+05:30 IST Asia/Kolkata
376399762,14,USD,-0.1239,-0.0189,1124.77526232,commission,C-BTC-86400-010325,,2025-03-01 15:53:11.794090+05:30 IST Asia/Kolkata
376399761,14,USD,-1.05,,1124.89916232,cashflow,C-BTC-86400-010325,,2025-03-01 15:53:11.794049+05:30 IST Asia/Kolkata
376387250,14,USD,-0.9558,-0.1458,1125.94916232,commission,C-BTC-85600-010325,,2025-03-01 15:51:19.147185+05:30 IST Asia/Kolkata
376387249,14,USD,8.1,,1126.90496232,cashflow,C-BTC-85600-010325,,2025-03-01 15:51:19.147145+05:30 IST Asia/Kolkata
376385873,14,USD,-3.4692,-0.5292,1118.80496232,commission,C-BTC-85200-010325,,2025-03-01 15:50:53.753088+05:30 IST Asia/Kolkata
376385872,14,USD,-29.4,,1122.27416232,cashflow,C-BTC-85200-010325,,2025-03-01 15:50:53.753040+05:30 IST Asia/Kolkata
376330134,14,USD,-6.0358062,-0.920716,1151.67416232,commission,P-BTC-84800-020325,,2025-03-01 15:33:43.950319+05:30 IST Asia/Kolkata
376330133,14,USD,56.2,,1157.70996852,cashflow,P-BTC-84800-020325,,2025-03-01 15:33:43.950276+05:30 IST Asia/Kolkata
376330051,14,USD,-3.0208,-0.4608,1101.50996852,commission,P-BTC-84000-020325,,2025-03-01 15:33:43.731086+05:30 IST Asia/Kolkata
376330048,14,USD,-25.6,,1104.53076852,cashflow,P-BTC-84000-020325,,2025-03-01 15:33:43.731041+05:30 IST Asia/Kolkata
376330036,14,USD,-6.03628056,-0.920789,1130.13076852,commission,P-BTC-85200-020325,,2025-03-01 15:33:43.526368+05:30 IST Asia/Kolkata
376330035,14,USD,-89,,1136.16704908,cashflow,P-BTC-85200-020325,,2025-03-01 15:33:43.526321+05:30 IST Asia/Kolkata
376330032,14,USD,-4.3424,-0.6624,1225.16704908,commission,P-BTC-84400-020325,,2025-03-01 15:33:43.327399+05:30 IST Asia/Kolkata
376330031,14,USD,36.8,,1229.50944908,cashflow,P-BTC-84400-020325,,2025-03-01 15:33:43.327350+05:30 IST Asia/Kolkata
371681603,14,USD,-2.8239465,-0.430772,1192.70944908,commission,BTCUSD,,2025-02-28 12:06:29.731990+05:30 IST Asia/Kolkata
371681602,14,USD,-1.35,,1195.53339558,cashflow,BTCUSD,,2025-02-28 12:06:29.731959+05:30 IST Asia/Kolkata
371681601,14,USD,0.01594489,,1196.88339558,funding,BTCUSD,,2025-02-28 12:06:29.729098+05:30 IST Asia/Kolkata
371643326,14,USD,-1.12926,-0.17226,1196.86745069,commission,BTCUSD,,2025-02-28 11:47:14.192215+05:30 IST Asia/Kolkata
366444551,14,USD,-1.21264824,-0.18498,1197.99671069,commission,BTCUSD,,2025-02-26 23:28:04.521497+05:30 IST Asia/Kolkata
366444550,14,USD,70.32,,1199.20935893,cashflow,BTCUSD,,2025-02-26 23:28:04.521460+05:30 IST Asia/Kolkata
366332596,14,USD,-3.0731094,-0.468779,1128.88935893,commission,BTCUSD,,2025-02-26 22:52:31.138044+05:30 IST Asia/Kolkata
365542089,14,USD,-1.010375,-0.154125,1131.96246833,commission,BTCUSD,,2025-02-26 19:54:21.234558+05:30 IST Asia/Kolkata
365542088,14,USD,161.525,,1132.97284333,cashflow,BTCUSD,,2025-02-26 19:54:21.234519+05:30 IST Asia/Kolkata
365542087,14,USD,0.00891771,,971.44784333,funding,BTCUSD,,2025-02-26 19:54:21.226540+05:30 IST Asia/Kolkata
365406642,14,USD,0.02170636,,971.43892562,funding,BTCUSD,,2025-02-26 19:31:33.039583+05:30 IST Asia/Kolkata
365219772,14,USD,0.02184612,,971.41721926,funding,BTCUSD,,2025-02-26 18:31:33.068096+05:30 IST Asia/Kolkata
365027290,14,USD,0.02201408,,971.39537314,funding,BTCUSD,,2025-02-26 17:31:33.065085+05:30 IST Asia/Kolkata
364863371,14,USD,0.02203262,,971.37335906,funding,BTCUSD,,2025-02-26 16:31:33.058263+05:30 IST Asia/Kolkata
364725807,14,USD,0.02199622,,971.35132644,funding,BTCUSD,,2025-02-26 15:31:33.074807+05:30 IST Asia/Kolkata
364566557,14,USD,0.02187464,,971.32933022,funding,BTCUSD,,2025-02-26 14:31:33.051661+05:30 IST Asia/Kolkata
364415787,14,USD,0.02096723,,971.30745558,funding,BTCUSD,,2025-02-26 13:31:33.043309+05:30 IST Asia/Kolkata
364259912,14,USD,0.02095385,,971.28648835,funding,BTCUSD,,2025-02-26 12:31:33.065022+05:30 IST Asia/Kolkata
364117339,14,USD,0.00487285,,971.2655345,funding,BTCUSD,,2025-02-26 11:31:33.056474+05:30 IST Asia/Kolkata
364070294,14,USD,-0.20945118,-0.03195,971.26066165,commission,BTCUSD,,2025-02-26 11:15:15.881345+05:30 IST Asia/Kolkata
364070293,14,USD,1.05,,971.47011283,cashflow,BTCUSD,,2025-02-26 11:15:15.881305+05:30 IST Asia/Kolkata
364070292,14,USD,0.01929493,,970.42011283,funding,BTCUSD,,2025-02-26 11:15:15.876252+05:30 IST Asia/Kolkata
363982297,14,USD,0.00209772,,970.4008179,funding,BTCUSD,,2025-02-26 10:31:33.046236+05:30 IST Asia/Kolkata
363955349,14,USD,-3.1454847,-0.47982,970.39872018,commission,BTCUSD,,2025-02-26 10:24:29.994796+05:30 IST Asia/Kolkata
361993856,14,USD,-1.019,,973.54420488,cashflow,BTCUSD,,2025-02-25 20:08:42.411400+05:30 IST Asia/Kolkata
361993855,14,USD,-7.6425,,974.56320488,cashflow,BTCUSD,,2025-02-25 20:08:42.389541+05:30 IST Asia/Kolkata
361993853,14,USD,-10.19,,982.20570488,cashflow,BTCUSD,,2025-02-25 20:08:42.357438+05:30 IST Asia/Kolkata
361993852,14,USD,-3.5665,,992.39570488,cashflow,BTCUSD,,2025-02-25 20:08:42.344531+05:30 IST Asia/Kolkata
